model,epoch,average_loss,accuracy,correct_data,total_data
global,56,1.5097924421300841,61.236180904522605,6093,9950
global,57,1.5220880541010717,61.69849246231156,6139,9950
global,58,1.5627669563485151,61.8391959798995,6153,9950
global,59,1.570640813932946,62.47236180904523,6216,9950
global,60,1.6056625232025608,62.54271356783919,6223,9950
global,61,1.5998549422067614,63.969849246231156,6365,9950
global,62,1.6423963728861593,63.869346733668344,6355,9950
global,63,1.6893137263772475,63.989949748743726,6367,9950
global,64,1.7374508130250863,64.10050251256281,6378,9950
global,65,1.774259296973147,64.321608040201,6400,9950
global,66,1.7875077037715432,65.31658291457286,6499,9950
global,67,1.7927980378884167,66.72361809045226,6639,9950
global,68,1.8199138526341423,67.5678391959799,6723,9950
global,69,1.8339137674456265,68.24120603015076,6790,9950
global,70,1.847405032057259,68.92462311557789,6858,9950
global,71,1.858605671791575,69.86934673366835,6952,9950
global,72,1.895245019730611,69.69849246231156,6935,9950
global,73,1.91572058902913,70.31155778894473,6996,9950
global,74,1.8897472741975256,72.09045226130654,7173,9950
global,75,1.8953663681260307,73.12562814070351,7276,9950
global,76,1.9291675724815485,73.55778894472363,7319,9950
global,77,1.9824222507189266,73.54773869346734,7318,9950
global,78,2.010278510472283,73.64824120603015,7328,9950
global,79,2.034661075074469,73.84924623115577,7348,9950
global,80,2.0863788363202733,74.11055276381909,7374,9950
global,81,2.0809591149564963,74.90452261306532,7453,9950
global,82,2.107617709289244,75.11557788944724,7474,9950
global,83,2.1572564743272022,74.93467336683418,7456,9950
global,84,2.191027454778777,74.96482412060301,7459,9950
global,85,2.189863979013721,75.85929648241206,7548,9950
global,86,2.231266279364351,75.8391959798995,7546,9950
global,87,2.2527680279142293,76.01005025125627,7563,9950
global,88,2.2519293519599954,76.55276381909547,7617,9950
global,89,2.2279068112013927,77.39698492462311,7701,9950
global,90,2.2237879269087135,78.08040201005025,7769,9950
global,91,2.2629104219369554,77.76884422110552,7738,9950
global,92,2.3201957234904995,77.0854271356784,7670,9950
global,93,2.3565076703402266,76.55276381909547,7617,9950
global,94,2.375615735077978,76.49246231155779,7611,9950
global,95,2.4069434268510523,76.39195979899498,7601,9950
global,96,2.4403689337495584,76.08040201005025,7570,9950
global,97,2.466208364208739,75.27638190954774,7490,9950
