local_model,round,epoch,internal_epoch,average_loss,accuracy,correct_data,total_data
4,6,3,2,0.03155280649662018,48.945615982241954,441,901
70,5,3,1,0.05558936297893524,27.43300423131171,389,1418
70,6,3,2,0.029784156009554863,46.262341325811,656,1418
96,5,3,1,0.08109306544065475,10.610932475884244,33,311
96,6,3,2,0.05649616941809654,43.40836012861736,135,311
11,5,3,1,0.05747795104980469,44.9438202247191,320,712
11,6,3,2,0.025545017793774605,58.70786516853933,418,712
21,7,4,1,0.054633039981126785,21.549512570549,420,1949
21,8,4,2,0.033146508038043976,35.30015392508979,688,1949
65,7,4,1,0.05621391162276268,24.06779661016949,355,1475
65,8,4,2,0.033358752727508545,42.91525423728814,633,1475
32,7,4,1,0.060674555599689484,25.03401360544218,184,735
32,8,4,2,0.022759342566132545,48.02721088435374,353,735
77,7,4,1,0.05513681098818779,21.940298507462686,294,1340
77,8,4,2,0.027141865342855453,42.462686567164184,569,1340
7,7,4,1,0.051120415329933167,40.29180695847362,359,891
7,8,4,2,0.026118682697415352,48.821548821548824,435,891
24,7,4,1,0.07427401840686798,6.089743589743589,19,312
24,8,4,2,0.03884141892194748,51.28205128205128,160,312
41,7,4,1,0.05906222015619278,46.31432545201669,333,719
41,8,4,2,0.03165215253829956,63.56050069541029,457,719
52,7,4,1,0.05621122941374779,41.0377358490566,261,636
52,8,4,2,0.029911324381828308,67.13836477987421,427,636
13,7,4,1,0.05940276384353638,17.56838905775076,289,1645
13,8,4,2,0.032813940197229385,37.75075987841945,621,1645
64,7,4,1,0.06250888854265213,19.30745015739769,184,953
64,8,4,2,0.03793035447597504,32.423924449108085,309,953
62,9,5,1,0.07059933245182037,20.070422535211268,114,568
62,10,5,2,0.042361270636320114,46.478873239436616,264,568
99,9,5,1,0.0713791623711586,19.663648124191464,152,773
99,10,5,2,0.03062162548303604,51.228978007761974,396,773
55,9,5,1,0.05233338475227356,25.49019607843137,273,1071
55,10,5,2,0.02908727526664734,46.31185807656396,496,1071
2,9,5,1,0.06531307101249695,32.892561983471076,199,605
2,10,5,2,0.040521636605262756,53.884297520661164,326,605
52,9,5,1,0.05583970621228218,38.522012578616355,245,636
52,10,5,2,0.030621077865362167,67.13836477987421,427,636
21,9,5,1,0.053960517048835754,20.061570035915853,391,1949
21,10,5,2,0.03363042324781418,32.06772703950744,625,1949
47,9,5,1,0.1261957585811615,0.0,0,134
47,10,5,2,0.11241589486598969,0.7462686567164178,1,134
94,9,5,1,0.05777784064412117,17.62936221419976,293,1662
94,10,5,2,0.03442927077412605,33.03249097472924,549,1662
92,9,5,1,0.05246245861053467,22.857142857142858,392,1715
92,10,5,2,0.03092975541949272,40.816326530612244,700,1715
84,9,5,1,0.061876196414232254,25.882352941176475,308,1190
84,10,5,2,0.03224022686481476,39.57983193277311,471,1190
42,11,6,1,0.05670500546693802,20.6268221574344,283,1372
42,12,6,2,0.032265156507492065,33.45481049562682,459,1372
86,11,6,1,0.0632498636841774,30.408773678963108,305,1003
86,12,6,2,0.036385826766490936,38.783649052841476,389,1003
96,11,6,1,0.0800856500864029,6.430868167202572,20,311
96,12,6,2,0.055810872465372086,43.08681672025724,134,311
97,11,6,1,0.052697114646434784,30.09068425391591,365,1213
